Index,Name,Latitude,Longitude,NELong,NELat,SWLong,SWLat,Place ID,hasBounds,randomWeight
0,"Alexandra Park, Toronto, ON, Canada",43.6497781,-79.4014566,"(-79.39636949999999,)","(43.652907,)","(-79.4059396,)","(43.6471779,)",ChIJvS5nOd00K4gR3a0jdnldIOA,1,4.080599545
1,"The Annex, Toronto, ON, Canada",43.6698329,-79.407585,"(-79.3941293,)","(43.6771849,)","(-79.4143589,)","(43.665132,)",ChIJwZgtPpg0K4gREoC7SqUeE_A,1,5.137927934
2,"Baldwin Village, Toronto, ON M5T, Canada",43.6560078,-79.3935402,"(-79.3921423,)","(43.6564817,)","(-79.3947601,)","(43.6554686,)",ChIJgcEKacY0K4gRbUFeVSkI1z4,1,1.507853106
3,"Cabbagetown, Toronto, ON, Canada",43.667263,-79.369169,"(-79.35687380000002,)","(43.6725873,)","(-79.3746535,)","(43.6561739,)",ChIJdYNHB1DL1IkRR4sIhNw66-A,1,7.56899
4,"CityPlace, Toronto, ON M5V, Canada",43.6416061,-79.3901975,"(-79.3870354,)","(43.6439327,)","(-79.4012834,)","(43.6365721,)",ChIJPdbpgyc1K4gRCASt_ydVwQw,1,2.81697118
5,"Chinatown, Toronto, ON M5T, Canada",43.650883,-79.397226,"(-79.39655820000002,)","(43.6568323,)","(-79.3998568,)","(43.6499731,)",ChIJxygAeMQ0K4gRFGCU4S0GExE,1,5.965171915
6,"Church and Wellesley, Toronto, ON, Canada",43.6645421,-79.3817523,"(-79.3751541,)","(43.669974,)","(-79.386071,)","(43.657463,)",ChIJ8zs2UrM0K4gRKpHh0zSWYx8,1,5.142005974
7,"Corktown, Toronto, ON M5A, Canada",43.654787,-79.359932,"(-79.3558789,)","(43.6573782,)","(-79.36450479999999,)","(43.651603,)",ChIJX8icuz_L1IkRStKuL-A6qVA,1,7.08770421
8,"Discovery District, Toronto, ON, Canada",43.6603242,-79.3937162,"(-79.3843102,)","(43.6630908,)","(-79.4005321,)","(43.6557481,)",ChIJY9gBJ8g0K4gRwfKR3nQauiI,1,3.153105336
9,"The Distillery District, Toronto, ON M5A, Canada",43.6503055,-79.35958,"(-79.35685529999999,)","(43.651717,)","(-79.3621981,)","(43.6493671,)",ChIJCcYBxz3L1IkRFmpW29wp58M,1,1.453937669
10,"Entertainment District, Toronto, ON, Canada",43.6426611,-79.3887901,"(-79.37785149999999,)","(43.65082659999999,)","(-79.3964338,)","(43.6387773,)",ChIJpR7eNNA0K4gRERWq2YHrmxc,1,8.392964661
11,"East Bayfront, Toronto, ON, Canada",43.6458246,-79.3655635,"(-79.36021319999999,)","(43.6481871,)","(-79.3701696,)","(43.6426282,)",ChIJBUi_8yTL1IkRGFOgIuGt770,1,3.583563385
12,"Fashion District, Toronto, ON, Canada",43.644769,-79.398642,"(-79.391284,)","(43.6493361,)","(-79.4041156,)","(43.6407028,)",ChIJvasITNo0K4gRslmD8YJqeBc,1,8.717359544
13,"Financial District, Toronto, ON, Canada",43.6479348,-79.3817523,"(-79.376909,)","(43.652426,)","(-79.38677299999999,)","(43.6451291,)",ChIJ2VTHmNI0K4gRWk_0M79PnEI,1,4.933215055
14,"Garden District, Toronto, ON, Canada",43.656898,-79.3761218,"(-79.3694361,)","(43.663215,)","(-79.3831301,)","(43.652426,)",ChIJwXDZ-TXL1IkRPiZMklvWsDM,1,3.546786321
15,"Grange Park, Toronto, ON, Canada",43.6537341,-79.3930124,"(-79.38656329999999,)","(43.6597999,)","(-79.4000815,)","(43.6487771,)",ChIJO8rF58U0K4gRG8Uc4ACYL00,1,8.147248027
16,"Harbord Village, Toronto, ON, Canada",43.661904,-79.4042712,"(-79.40010319999999,)","(43.6667075,)","(-79.4112396,)","(43.6564467,)",ChIJCUd_J5U0K4gR41L1x8z-Jp4,1,7.387013635
17,"Harbourfront-Spadina LRT - TTC, Toronto, ON, Canada",43.6523945,-79.390173,"(-79.3768371,)","(43.667058,)","(-79.403509,)","(43.637731,)",ChIJF_DRCs80K4gRcBDoyae4y0k,1,2.341438505
18,"Kensington Market, Toronto, ON M5T, Canada",43.6545236,-79.4014566,"(-79.39805109999999,)","(43.657941,)","(-79.40769920000001,)","(43.6517271,)",ChIJ68ICPcI0K4gRDOBbkTJRLUc,1,7.665818222
19,"Moss Park, Toronto, ON, Canada",43.6547889,-79.3726025,"(-79.364419,)","(43.6569745,)","(-79.37386049999999,)","(43.6537454,)",ChIJ83uEyD_L1IkRfgeamGzX73U,1,1.514762106
20,"Old Town, Toronto, ON, Canada",43.6516253,-79.3704909,"(-79.36274530000001,)","(43.6556393,)","(-79.3757916,)","(43.6494291,)",ChIJ5d1xqjDL1IkRfaotEzLv6mo,1,6.445544513
21,"Queen Street West, Toronto, ON, Canada",43.6501754,-79.3898457,"(-79.3864988,)","(43.6512303,)","(-79.404223,)","(43.6468673,)",ChIJiWugbVU0K4gRIt8NP_GwOe0,1,9.501016625
22,"Regent Park, Toronto, ON M5A, Canada",43.6603228,-79.3620439,"(-79.3565251,)","(43.663719,)","(-79.36699,)","(43.6556191,)",ChIJa-LlGUHL1IkR5vfLjn-3T20,1,9.480301941
23,"Toronto St, Regina, SK S4P, Canada",50.4476674,-104.5991325,"(-104.59524,)","(50.45427600000001,)","(-104.599829,)","(50.4408682,)",ChIJH8meKkoeHFMRP8pZzKW03rM,1,7.363052031
24,"St. James Town, Toronto, ON, Canada",43.6708666,-79.3733064,"(-79.369537,)","(43.6725279,)","(-79.37695029999999,)","(43.6671089,)",ChIJNRmJo1HL1IkR0M3qgf5zHKE,1,3.084594987
25,"St. Lawrence, Toronto, ON, Canada",43.6485935,-79.369787,"(-79.36124,)","(43.651578,)","(-79.37785149999999,)","(43.6448809,)",ChIJYSgAqjrL1IkRXpbEtSEgKhc,1,3.289674632
26,"Toronto Islands, Toronto, ON, Canada",43.6289467,-79.3944199,"(-79.34944689999999,)","(43.63409120000001,)","(-79.4049258,)","(43.6119566,)",ChIJVYdeYbfK1IkRYKGgz-OTyRc,1,8.538153064
27,"Trefann Court, Toronto, ON M5A, Canada",43.6574889,-79.360284,"(-79.3566085,)","(43.6595516,)","(-79.3650199,)","(43.6556394,)",ChIJjy22gUDL1IkRcovEAyi3Ick,1,6.337997434
28,"University, Toronto, ON, Canada",43.6626956,-79.4000493,"(-79.38994389999999,)","(43.6687075,)","(-79.4111209,)","(43.6564641,)",ChIJq_9ZrL80K4gRjkgaYCMz9ok,1,2.080821154
29,"Yorkville, Toronto, ON, Canada",43.670749,-79.39304,"(-79.3795252,)","(43.6770907,)","(-79.39761399999999,)","(43.668707,)",ChIJe_Pth6U0K4gRVmnX4h0xMWg,1,9.105113888
30,"Bedford Park, Toronto, ON, Canada",43.7301254,-79.4113072,"(-79.3938831,)","(43.7364479,)","(-79.4195031,)","(43.722247,)",ChIJM20a5OgyK4gR0mGBCiDiU1w,1,2.253015296
31,"Casa Loma, Toronto, ON, Canada",43.6821959,-79.4056784,"(-79.3976333,)","(43.6868048,)","(-79.4186212,)","(43.67402999999999,)",ChIJ3flrK2IzK4gRsoLymGpVn1g,1,5.760688676
32,"Chaplin Estates, Toronto, ON, Canada",43.7019536,-79.4014566,"(-79.3965821,)","(43.7067539,)","(-79.40845310000002,)","(43.697888,)",ChIJGSCtHj4zK4gRYLL52UlnqIs,1,9.591198073
33,"Davisville, Toronto, ON, Canada",43.704309,-79.388516,"(-79.37321659999999,)","(43.7110679,)","(-79.3981933,)","(43.6955556,)",ChIJdbdL0TMzK4gRom9xIq08LtQ,1,3.513775889
34,"Deer Park, Toronto, ON, Canada",43.6898373,-79.398642,"(-79.3883001,)","(43.698302,)","(-79.4032313,)","(43.683505,)",ChIJP0kzXkQzK4gRFgA3L1iyTtM,1,9.810717039
35,"Forest Hill, Toronto, ON, Canada",43.697473,-79.4169356,"(-79.401138,)","(43.7100133,)","(-79.4410228,)","(43.68321,)",ChIJq8NqfmYzK4gRCjlYHDlmaJI,1,9.847614728
36,"Lawrence Park, Toronto, ON, Canada",43.7232822,-79.3887901,"(-79.37836209999999,)","(43.72845299999999,)","(-79.4021738,)","(43.716387,)",ChIJF7TclNAyK4gRHIjQ6Zydd-4,1,8.781580616
37,"Lytton Park, Toronto, ON, Canada",43.7159091,-79.4113072,"(-79.3998671,)","(43.7251807,)","(-79.421711,)","(43.7100674,)",ChIJv4D-zQQzK4gRevh6apNH85I,1,1.081894455
38,"Midtown Toronto, Toronto, ON, Canada",43.6985295,-79.4028639,"(-79.3617898,)","(43.728561,)","(-79.4462585,)","(43.66203520000001,)",ChIJSZksjjszK4gRVLVbBkVujgM,1,8.415060218
39,"Moore Park, Toronto, ON, Canada",43.6913089,-79.383686,"(-79.3669759,)","(43.696762,)","(-79.39089779999999,)","(43.684804,)",ChIJfwMp8rPM1IkRRm6vKICLvKI,1,7.734466673
40,"North Toronto, Toronto, ON, Canada",43.7122244,-79.3972346,"(-79.3733882,)","(43.7382359,)","(-79.421711,)","(43.69574180000001,)",ChIJ97nSnVMzK4gReq4xNoPCV5c,1,3.599105148
41,"Rosedale, Toronto, ON, Canada",43.683375,-79.377172,"(-79.35997730000001,)","(43.694447,)","(-79.39117010000001,)","(43.6700445,)",ChIJHW2KcazM1IkRGJa28C7Z2ug,1,4.981845015
42,"South Hill, Toronto, ON, Canada",43.6821959,-79.4056784,"(-79.3978499,)","(43.6867118,)","(-79.4111539,)","(43.6755076,)",ChIJv0IOQWAzK4gRQc-MRh-ZQ_I,1,6.526065447
43,"Summerhill, Toronto, ON, Canada",43.6811436,-79.3944199,"(-79.3839629,)","(43.6873014,)","(-79.40012449999999,)","(43.6762215,)",ChIJBcQx2lEzK4gRJmM90ZL9W-Q,1,3.603485858
44,"Wanless Park, Toronto, ON M4N, Canada",43.7293368,-79.3901975,"(-79.38523289999999,)","(43.7328404,)","(-79.3960046,)","(43.7268088,)",ChIJ_zuTW88yK4gR8mRaVF_kHaE,1,6.933692925
45,"Wychwood Park, Toronto, ON M6G, Canada",43.6779102,-79.4201015,"(-79.4181275,)","(43.6792012,)","(-79.42232249999999,)","(43.6764544,)",ChIJDyspaIE0K4gRhgAzCtKFysY,1,7.312842909
46,"Yonge and Eglinton, Toronto, ON, Canada",43.706431,-79.398642,"(-79.3919492,)","(43.7092223,)","(-79.4033216,)","(43.7036731,)",ChIJEStEAz0zK4gRBXT8GiUjWDE,1,3.244396895
47,"Beaconsfield Village, Toronto, ON, Canada",43.6471338,-79.4239707,"(-79.4188786,)","(43.6496234,)","(-79.4314528,)","(43.6422712,)",ChIJoSrUfv80K4gRm13tytuTfqc,1,2.597334659
48,"Bloor West Village, Toronto, ON, Canada",43.6508634,-79.477651,"(-79.4709894,)","(43.6527666,)","(-79.4846494,)","(43.64886689999999,)",ChIJqRFBv4c2K4gRsZJeFYx-flQ,1,4.452979113
49,"Bracondale Hill, Toronto, ON, Canada",43.678237,-79.4267845,"(-79.41583159999999,)","(43.6831118,)","(-79.43587289999999,)","(43.6744524,)",ChIJ_auj5X00K4gRWBRz6zu3c8w,1,3.338310019
50,"Brockton Village, Toronto, ON, Canada",43.6531909,-79.4380391,"(-79.4288349,)","(43.659862,)","(-79.4453144,)","(43.6424109,)",ChIJKykqUk80K4gRBIh8om-Sk8o,1,7.05986922
51,"Carleton Village, Toronto, ON, Canada",43.6716304,-79.4577314,"(-79.4491338,)","(43.6751041,)","(-79.4656134,)","(43.6672198,)",ChIJcWJBzhA0K4gRtKjee52nYWc,1,5.47240877
52,"Corso Italia, Toronto, ON, Canada",43.6773705,-79.4461276,"(-79.4412579,)","(43.67903990000001,)","(-79.4512,)","(43.675689,)",ChIJMdueFnM0K4gRBMW2GR1egVQ,1,2.642730521
53,"Davenport, Toronto, ON, Canada",43.6719082,-79.4352256,"(-79.4146729,)","(43.67687350000001,)","(-79.4514085,)","(43.6673128,)",ChIJM-RYAYc0K4gRSzzqg_RBViM,1,1.751196731
54,"Dovercourt Park, Toronto, ON, Canada",43.6658469,-79.4338188,"(-79.4255733,)","(43.6711622,)","(-79.43926330000001,)","(43.6598621,)",ChIJo_FwH2c0K4gRHCtz_HEMhnw,1,8.715268694
55,"Dufferin Grove, Toronto, ON, Canada",43.6558326,-79.4281914,"(-79.4207667,)","(43.6620043,)","(-79.435401,)","(43.649367,)",ChIJ17TSlFk0K4gR3hmF7F0zL7M,1,5.445216115
56,"Earlscourt, Toronto, ON, Canada",43.6769064,-79.4506989,"(-79.4411946,)","(43.6855945,)","(-79.4675876,)","(43.6709137,)",ChIJsbjN5w00K4gRwXxSSbIh8IE,1,3.555163853
57,"Fort York, Toronto, ON, Canada",43.6381753,-79.4042712,"(-79.3996526,)","(43.6403612,)","(-79.4103385,)","(43.634491,)",ChIJEYMcMB81K4gRcuDBp17Ko44,1,4.85849531
58,"High Park, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada",43.6465479,-79.4636903,,,,,ChIJBfc2I9M1K4gRZ-4AoyXIvAE,0,2.187411316
59,"The Junction, Toronto, ON, Canada",43.666612,-79.468614,"(-79.45775979999999,)","(43.6730245,)","(-79.4836378,)","(43.6600173,)",ChIJZROz3SM0K4gRQJymoFfG2FI,1,7.482433103
60,"Junction Triangle, Toronto, ON, Canada",43.6613564,-79.4492924,"(-79.4422192,)","(43.6672429,)","(-79.45994329999999,)","(43.6505162,)",ChIJ8eAX7zg0K4gRxtQ9UYl9DNQ,1,4.403578943
61,"Koreatown, Toronto, ON M6G, Canada",43.6639433,-79.4165838,"(-79.4124159,)","(43.665302,)","(-79.42090639999999,)","(43.66175339999999,)",ChIJq1xBEo00K4gRWnZXy5yvyfE,1,5.783508795
62,"Liberty Village, Toronto, ON, Canada",43.6373781,-79.4211567,"(-79.41008599999999,)","(43.640947,)","(-79.42735909999999,)","(43.633796,)",ChIJSZiYFgQ1K4gRioYEGnqeWbA,1,2.938537335
63,"Little Italy, Toronto, ON, Canada",43.6547828,-79.4169356,"(-79.4059181,)","(43.6615074,)","(-79.42424299999999,)","(43.649274,)",ChIJBbSixvE0K4gR7ms6bh421n8,1,3.849884347
64,"Little Portugal, Toronto, ON, Canada",43.6463408,-79.4281914,"(-79.421196,)","(43.6535901,)","(-79.4441557,)","(43.6405476,)",ChIJFa6sc1Q0K4gRWNYCQRTS3iQ,1,7.498107476
65,"Toronto, ON, Canada",43.653226,-79.3831843,"(-79.116897,)","(43.8554579,)","(-79.639219,)","(43.5810245,)",ChIJpTvG15DL1IkRd8S0KlBVNTI,1,1.584511675
66,"Mirvish Village, Toronto, ON, Canada",43.6646697,-79.411659,"(-79.4101938,)","(43.6666221,)","(-79.41300989999999,)","(43.6625241,)",ChIJ9di0-ZI0K4gRjkogRAt_Gng,1,5.198279294
67,"Niagara, Toronto, ON, Canada",43.6373829,-79.4084928,"(-79.39676299999999,)","(43.647183,)","(-79.4312381,)","(43.6260731,)",ChIJ5VyJyx01K4gRYFjYThbVgaI,1,5.607886365
68,"Palmerston, Toronto, ON, Canada",43.6603202,-79.4127143,"(-79.4076777,)","(43.6650778,)","(-79.417076,)","(43.6552358,)",ChIJBaqrFe00K4gRWAQiIpqKQ9Q,1,7.773815253
69,"Parkdale, Toronto, ON, Canada",43.643832,-79.442534,"(-79.42373889999999,)","(43.6473311,)","(-79.44873799999999,)","(43.629663,)",ChIJn9P5I641K4gRwog7hcLKSHU,1,8.07350043
70,"Queen Street West, Toronto, ON, Canada",43.6501754,-79.3898457,"(-79.3864988,)","(43.6512303,)","(-79.404223,)","(43.6468673,)",ChIJiWugbVU0K4gRIt8NP_GwOe0,1,8.521419444
71,"Roncesvalles Ave, Toronto, ON M6R, Canada",43.6463441,-79.4490509,"(-79.4459013,)","(43.6538451,)","(-79.4521749,)","(43.6387891,)",ChIJnR0kTDU0K4gRTiVMRpdSlvI,1,7.256511994
72,"Runnymede, Toronto, ON, Canada",43.6617324,-79.4849101,"(-79.476282,)","(43.6670644,)","(-79.4915185,)","(43.64935,)",ChIJp0Tbx482K4gRjqfxccNif4g,1,3.680648065
73,"Seaton Village, Toronto, ON, Canada",43.669017,-79.4169356,"(-79.41119669999999,)","(43.6740798,)","(-79.4219256,)","(43.6635875,)",ChIJB62BVI40K4gRnYBwQM4wgDY,1,5.154347496
74,"Swansea, Toronto, ON, Canada",43.6439713,-79.4779907,"(-79.4639827,)","(43.6525345,)","(-79.491969,)","(43.6309812,)",ChIJ78A4d9Y1K4gRlGl9hzqf6IY,1,2.337448743
75,"Trinity - Bellwoods, Toronto, ON, Canada",43.6500371,-79.4169356,"(-79.4039569,)","(43.6564641,)","(-79.4264001,)","(43.643468,)",ChIJF1Yz3_o0K4gRjpVq_F5cN8M,1,9.497124898
76,"Wallace Emerson, Toronto, ON, Canada",43.6684011,-79.4405951,"(-79.4353579,)","(43.6690824,)","(-79.44909109999999,)","(43.6578749,)",ChIJ_y6HHUI0K4gR3LitEBVqmas,1,1.444149432
77,"The Beach, Toronto, ON, Canada",43.6673479,-79.296693,"(-79.2795468,)","(43.6808074,)","(-79.32948329999999,)","(43.647881,)",ChIJwfKW_PbL1IkRwjqEdm-NF9w,1,6.739853466
78,"East Danforth, Toronto, ON, Canada",43.6837565,-79.3212058,"(-79.29234269999999,)","(43.6923286,)","(-79.33364879999999,)","(43.67498,)",ChIJCfiKXGzM1IkR_lDxVKa-Z7E,1,6.927113081
79,"Gerrard St E, Toronto, ON, Canada",43.6706297,-79.3292834,"(-79.2778719,)","(43.6890537,)","(-79.3830866,)","(43.6587058,)",ChIJ8WEsNH_M1IkRWheVXgNDkow,1,8.770228803
80,"The Danforth, Toronto, ON, Canada",43.6837565,-79.3212058,"(-79.2925358,)","(43.6924216,)","(-79.36248789999999,)","(43.6735522,)",ChIJGT97EaDM1IkRn15I1HA-7_I,1,9.72501871
81,"Leslieville, Toronto, ON, Canada",43.6658467,-79.3324733,"(-79.3150233,)","(43.6784253,)","(-79.3490982,)","(43.6512303,)",ChIJEYFZqILL1IkRFiFfEpe9xhQ,1,2.257899917
82,"Main St, Toronto, ON, Canada",43.6879423,-79.3017067,"(-79.29778340000001,)","(43.6970648,)","(-79.3058441,)","(43.6788985,)",ChIJUZJw8xfM1IkRLF2oyjTMCl0,1,1.938822823
83,"Playter Estates, Toronto, ON M4K, Canada",43.6790323,-79.359228,"(-79.3532998,)","(43.682423,)","(-79.3625521,)","(43.67572500000001,)",ChIJIZD_OZ_M1IkRtjTmzh4xl7g,1,7.933195553
84,"Port Lands, Toronto, ON, Canada",43.6473987,-79.3381065,"(-79.3207731,)","(43.659067,)","(-79.359659,)","(43.633076,)",ChIJtTwIugjL1IkR3oe1wKG6u1E,1,9.268913158
85,"Riverdale, Toronto, ON, Canada",43.669714,-79.353185,"(-79.3297005,)","(43.6846946,)","(-79.36153809999999,)","(43.650918,)",ChIJtVLERm_L1IkRUgKyiq74I1Q,1,3.34376997
86,"Upper Beaches, Toronto, ON, Canada",43.6779526,-79.309937,"(-79.284063,)","(43.68932789999999,)","(-79.3217181,)","(43.66625750000001,)",ChIJH7g4pxvM1IkR8g0WqYsMmsg,1,6.775980399
87,"Broadview North, Toronto, ON, Canada",43.6869346,-79.3550041,"(-79.3468552,)","(43.696927,)","(-79.3624612,)","(43.6813691,)",ChIJeRWHgZbM1IkRakMt_3i_wMQ,1,3.551741941
88,"Crescent Town, Toronto, ON, Canada",43.6959813,-79.2937357,"(-79.2895533,)","(43.6976345,)","(-79.2975355,)","(43.694392,)",ChIJFfEvTibM1IkR4iZS6kRxB5g,1,2.372219271
89,"East Danforth, Toronto, ON, Canada",43.6837565,-79.3212058,"(-79.29234269999999,)","(43.6923286,)","(-79.33364879999999,)","(43.67498,)",ChIJCfiKXGzM1IkR_lDxVKa-Z7E,1,8.127514008
90,"Pape Village, Toronto, ON, Canada",43.6871942,-79.3451475,"(-79.33934579999999,)","(43.691189,)","(-79.3487999,)","(43.683991,)",ChIJie5jY47M1IkRQheKWPNVhzg,1,5.054424474
91,"Woodbine Heights, Toronto, ON, Canada",43.693328,-79.316064,"(-79.3017995,)","(43.7015634,)","(-79.3295397,)","(43.6833454,)",ChIJuUbPDF_M1IkRqK8wLMbh7oo,1,6.964308691
92,"Bermondsey Rd, Toronto, ON M4B, Canada",43.7181968,-79.3137696,"(-79.3074147,)","(43.7261027,)","(-79.31605019999999,)","(43.7118798,)",ChIJDXdZ6cfN1IkRLAXIomO_DIo,1,4.416346333
93,"Governor's Bridge, Toronto, ON, Canada",43.6914155,-79.3648596,"(-79.3618226,)","(43.6943919,)","(-79.3712424,)","(43.6893495,)",ChIJ3b8jC7nM1IkRbKBRavVec-k,1,7.716302302
94,"Leaside, Toronto, ON, Canada",43.708826,-79.373499,"(-79.34918390000001,)","(43.720377,)","(-79.37836209999999,)","(43.6944384,)",ChIJSSSwz9vM1IkRvIGtIThGvSU,1,1.306008505
95,"O'Connor - Parkview, Toronto, ON, Canada",43.7063972,-79.309937,"(-79.2909428,)","(43.717443,)","(-79.3317443,)","(43.69747,)",ChIJ0aiyFDXM1IkRPncDncW1MUw,1,5.571549058
96,"Thorncliffe Park, Toronto, ON, Canada",43.7080032,-79.352188,"(-79.3303178,)","(43.716392,)","(-79.36473199999999,)","(43.699361,)",ChIJTaHgW-PM1IkRKK_UdORY19o,1,8.185047784
97,"Alderwood, Toronto, ON, Canada",43.6035413,-79.5464093,"(-79.52496699999999,)","(43.61513739999999,)","(-79.5593815,)","(43.5901709,)",ChIJ4-PipxdIK4gRGAp1DcAawn8,1,6.629906235
98,"Centennial Park, Toronto, ON, Canada",43.6540421,-79.5884369,"(-79.5631599,)","(43.6729004,)","(-79.60847849999999,)","(43.6378146,)",ChIJQ3z0g0k4K4gRke6KYtxefDQ,1,4.914864354
99,"Clairville, Toronto, ON, Canada",43.7425044,-79.6221368,"(-79.59895139999999,)","(43.7567129,)","(-79.6473742,)","(43.733177,)",ChIJS5hX8Qw7K4gRxuD-rduAKXI,1,5.279777028
100,"Eatonville, Toronto, ON, Canada",43.641448,-79.5547244,"(-79.5263468,)","(43.659883,)","(-79.57869529999999,)","(43.6270672,)",ChIJg_A_XZA3K4gRQJfJDkb2y_o,1,1.388039521
101,"The Elms, Toronto, ON, Canada",43.7236919,-79.5462943,"(-79.5373249,)","(43.73222029999999,)","(-79.5619583,)","(43.709641,)",ChIJ-TMbciE6K4gRihGCsr_akyA,1,4.650135008
102,"Eringate, Toronto, ON, Canada",43.6598724,-79.5743915,"(-79.56753739999999,)","(43.6714724,)","(-79.5871925,)","(43.6515408,)",ChIJmSUsNMk5K4gRPT4zzItZfMQ,1,1.417564733
